,,,,,,,
,,,,,,,
Customer_Segment,COUNTA of Customer Id,AVERAGE of SUM of Total_Value,AVERAGE of M_Score,SUM of SUM of Total_Value,,,
12649,34.00,2,24/05/2010,,,,
12651,10.20,1,24/03/2010,,,,
12655,15.60,1,02/03/2010,,,,
12656,28.50,2,22/07/2010,,,,
12662,58.50,4,29/09/2010,,,,
12668,313.05,4,03/12/2010,,,,
12671,10.08,1,13/09/2010,,,,
12675,10.35,2,15/11/2010,,,,
12676,70.00,1,03/08/2010,,,,
12678,529.00,2,18/11/2010,,,,
12681,442.74,12,06/12/2010,,,,
12682,156.35,7,14/11/2010,,,,
12683,111.55,4,10/11/2010,,,,
12687,29.98,1,04/10/2010,,,,
12691,23.40,1,27/05/2010,,,,
12694,41.70,1,17/03/2010,,,,
12695,23.40,1,13/10/2010,,,,
12701,114.58,3,26/10/2010,,,,
12705,49.65,2,09/11/2010,,,,
12708,17.70,1,08/12/2009,,,,
12709,368.41,6,25/11/2010,,,,
12712,53.76,3,15/09/2010,,,,
12714,351.35,5,02/11/2010,,,,
12717,15.30,1,18/07/2010,,,,
12720,36.68,2,08/12/2010,,,,
12721,-5.85,1,15/04/2010,,,,
12724,19.90,1,18/03/2010,,,,
12726,20.16,1,16/07/2010,,,,
12727,40.68,2,10/11/2010,,,,
12730,17.00,1,31/01/2010,,,,
12731,78.60,2,01/12/2010,,,,
12733,60.15,3,02/11/2010,,,,
12742,10.20,1,24/02/2010,,,,
12744,63.90,2,25/11/2010,,,,
12746,12.75,1,11/01/2010,,,,
12747,76.94,3,30/07/2010,,,,
12748,364.90,35,01/12/2010,,,,
12749,120.95,3,25/10/2010,,,,
12751,2.10,1,02/09/2010,,,,
12755,0.40,2,08/06/2010,,,,
12758,88.80,2,12/07/2010,,,,
12759,157.23,5,26/10/2010,,,,
12760,15.00,1,01/02/2010,,,,
12766,70.50,2,18/11/2010,,,,
12767,16.80,1,16/12/2009,,,,
12770,207.36,1,14/06/2010,,,,
12778,31.85,2,03/10/2010,,,,
12779,50.76,2,28/06/2010,,,,
12782,87.90,2,25/10/2010,,,,
12784,15.00,1,16/09/2010,,,,
12785,22.55,1,21/11/2010,,,,
12787,15.00,1,09/09/2010,,,,
12792,30.00,1,30/06/2010,,,,
12793,8.50,1,04/05/2010,,,,
12798,69.12,1,12/04/2010,,,,
12801,23.40,1,01/12/2010,,,,
12806,17.00,1,02/12/2009,,,,
12808,17.70,1,08/02/2010,,,,
12811,16.50,1,24/10/2010,,,,
12813,30.00,1,27/09/2010,,,,
12820,28.20,2,27/09/2010,,,,
12823,381.00,1,18/12/2009,,,,
12826,17.70,1,17/12/2009,,,,
12829,9.95,1,17/10/2010,,,,
12831,25.50,1,21/06/2010,,,,
12835,189.63,14,30/11/2010,,,,
12836,56.70,4,12/07/2010,,,,
12837,27.05,1,29/09/2010,,,,
12838,22.70,3,09/12/2010,,,,
12839,144.73,5,05/12/2010,,,,
12840,14.85,1,11/08/2010,,,,
12841,50.92,4,11/11/2010,,,,
12842,70.80,1,25/10/2010,,,,
12848,17.90,1,03/11/2010,,,,
12849,69.85,3,01/12/2010,,,,
12851,2.50,1,01/03/2010,,,,
12853,27.90,1,02/08/2010,,,,
12854,53.30,4,23/11/2010,,,,
12855,11.80,1,13/07/2010,,,,
12859,6.50,1,13/12/2009,,,,
12862,15.95,2,06/12/2010,,,,
12863,72.00,1,25/02/2010,,,,
12865,40.20,1,30/11/2010,,,,
12867,61.89,4,07/12/2010,,,,
12870,-9.95,1,28/10/2010,,,,
12872,32.80,3,29/09/2010,,,,
12876,31.60,1,22/10/2010,,,,
12877,4.63,1,07/12/2010,,,,
12890,5.05,1,04/10/2010,,,,
12892,17.70,1,14/10/2010,,,,
12898,5.04,1,21/09/2010,,,,
12899,15.00,1,21/05/2010,,,,
12900,23.40,1,05/07/2010,,,,
12903,71.70,1,06/09/2010,,,,
12905,12.60,1,21/09/2010,,,,
12907,26.58,2,20/10/2010,,,,
12909,12.67,2,07/10/2010,,,,
12910,23.40,1,21/06/2010,,,,
12911,71.38,1,22/11/2010,,,,
12913,17.70,1,03/03/2010,,,,
12915,15.60,1,07/12/2010,,,,
12921,419.60,17,01/12/2010,,,,
12926,28.25,3,01/12/2010,,,,
12928,15.00,1,09/03/2010,,,,
12931,"1,772.00",2,19/04/2010,,,,
12932,101.76,1,17/02/2010,,,,
12933,1.45,1,31/01/2010,,,,
12937,16.50,1,07/06/2010,,,,
12941,9.12,1,20/09/2010,,,,
12943,12.60,1,28/02/2010,,,,
12945,17.70,1,13/01/2010,,,,
12949,153.28,6,30/11/2010,,,,
12951,9.40,2,01/11/2010,,,,
12953,31.98,1,08/12/2010,,,,
12956,27.90,2,27/04/2010,,,,
12957,30.42,1,03/09/2010,,,,
12960,9.90,1,28/05/2010,,,,
12963,51.00,3,12/11/2010,,,,
12970,40.20,3,11/10/2010,,,,
12971,255.30,4,10/08/2010,,,,
12972,10.08,1,20/04/2010,,,,
12975,45.00,2,07/11/2010,,,,
12976,61.50,3,28/11/2010,,,,
12978,122.35,4,07/11/2010,,,,
12980,102.30,2,24/09/2010,,,,
12982,22.95,3,01/12/2010,,,,
12983,16.50,1,11/11/2010,,,,
12986,-13.75,1,18/08/2010,,,,
12996,25.50,1,16/12/2009,,,,
12998,10.50,1,10/09/2010,,,,
13000,9.95,1,27/10/2010,,,,
13001,195.25,10,10/11/2010,,,,
13004,81.75,9,24/11/2010,,,,
13005,15.00,1,06/12/2010,,,,
13012,-1.68,1,23/02/2010,,,,
13013,224.95,8,30/09/2010,,,,
13014,61.90,1,03/12/2010,,,,
13015,50.60,3,03/12/2010,,,,
13018,37.71,1,09/06/2010,,,,
13019,20.40,1,11/02/2010,,,,
13021,63.60,3,19/11/2010,,,,
13023,17.70,1,17/10/2010,,,,
13029,15.30,1,23/03/2010,,,,
13030,20.25,1,13/09/2010,,,,
13031,72.88,2,07/12/2010,,,,
13032,5.10,1,05/02/2010,,,,
13037,6.80,1,13/08/2010,,,,
13042,3.35,4,07/12/2010,,,,
13044,38.35,4,08/12/2010,,,,
13047,153.78,3,27/09/2010,,,,
13048,16.50,1,07/05/2010,,,,
13050,69.22,5,19/11/2010,,,,
13052,37.70,3,30/11/2010,,,,
13055,6.96,1,08/06/2010,,,,
13057,1.95,1,27/04/2010,,,,
13059,44.50,3,28/06/2010,,,,
13065,41.00,2,29/07/2010,,,,
13067,11.80,1,26/09/2010,,,,
13069,297.93,8,16/11/2010,,,,
13073,37.60,2,01/07/2010,,,,
13077,116.86,2,02/12/2010,,,,
13078,590.04,9,06/12/2010,,,,
13081,500.12,16,03/12/2010,,,,
13082,15.00,1,07/12/2010,,,,
13085,60.60,1,18/06/2010,,,,
13086,7.50,1,29/11/2010,,,,
13087,23.80,1,10/12/2009,,,,
13089,"1,076.62",28,09/12/2010,,,,
13090,408.00,1,08/12/2009,,,,
13091,-29.40,3,28/10/2010,,,,
13093,"1,620.97",22,08/12/2010,,,,
13094,76.32,1,14/11/2010,,,,
13097,115.61,8,16/11/2010,,,,
13101,2.55,1,23/06/2010,,,,
13102,29.70,1,18/08/2010,,,,
13107,41.97,2,06/12/2010,,,,
13108,30.24,2,04/10/2010,,,,
13110,24.65,1,05/05/2010,,,,
13113,187.28,5,08/12/2010,,,,
13115,77.10,4,05/11/2010,,,,
13117,27.14,2,06/05/2010,,,,
13123,19.90,1,10/03/2010,,,,
13124,27.00,1,23/08/2010,,,,
13126,25.20,2,10/11/2010,,,,
13131,46.10,2,23/11/2010,,,,
13134,61.20,1,18/11/2010,,,,
13135,16.50,1,06/09/2010,,,,
13136,15.60,2,05/10/2010,,,,
13137,90.76,7,25/10/2010,,,,
13138,30.45,1,29/04/2010,,,,
13139,10.50,1,03/11/2010,,,,
13140,2.95,1,19/02/2010,,,,
13141,187.40,6,18/11/2010,,,,
13148,92.93,5,30/11/2010,,,,
13151,8.79,1,23/08/2010,,,,
13152,76.50,4,02/11/2010,,,,
13154,12.60,1,12/09/2010,,,,
13155,19.80,1,20/05/2010,,,,
13156,10.14,1,05/12/2010,,,,
13157,37.16,2,25/11/2010,,,,
13161,26.00,1,22/12/2009,,,,
13162,364.50,4,06/12/2010,,,,
13173,88.85,3,21/06/2010,,,,
13174,82.45,5,21/11/2010,,,,
13177,11.70,1,14/10/2010,,,,
13178,169.90,7,03/12/2010,,,,
13181,30.00,1,11/06/2010,,,,
13183,96.12,2,24/11/2010,,,,
13191,3.75,1,03/03/2010,,,,
13192,13.50,1,18/01/2010,,,,
13194,102.00,1,14/07/2010,,,,
13195,5.44,1,09/06/2010,,,,
13198,43.50,2,23/09/2010,,,,
13199,138.24,1,04/03/2010,,,,
13201,20.40,1,30/05/2010,,,,
13202,106.98,3,24/11/2010,,,,
13203,17.00,1,23/12/2009,,,,
13204,6.60,1,18/04/2010,,,,
13206,211.88,6,06/12/2010,,,,
13208,5.42,1,19/05/2010,,,,
13211,10.20,2,29/03/2010,,,,
13213,17.85,1,18/12/2009,,,,
13214,101.58,4,30/11/2010,,,,
13230,55.06,7,26/10/2010,,,,
13233,43.68,2,06/06/2010,,,,
13239,22.50,2,07/10/2010,,,,
13240,15.00,2,19/10/2010,,,,
13242,19.50,1,20/10/2010,,,,
13243,5.15,2,18/11/2010,,,,
13245,30.00,1,11/11/2010,,,,
13246,9.60,2,03/11/2010,,,,
13249,46.40,1,04/08/2010,,,,
13253,12.16,1,07/07/2010,,,,
13257,17.70,1,19/05/2010,,,,
13259,10.10,3,08/04/2010,,,,
13262,25.20,2,24/11/2010,,,,
13263,8.00,1,01/11/2010,,,,
13266,71.88,3,09/12/2010,,,,
13267,155.30,4,09/11/2010,,,,
13269,40.40,1,18/11/2010,,,,
13276,25.24,2,07/11/2010,,,,
13278,42.44,2,28/04/2010,,,,
13280,13.90,1,24/09/2010,,,,
13285,10.50,1,23/03/2010,,,,
13287,10.20,1,24/10/2010,,,,
13290,-208.63,1,26/09/2010,,,,
13291,142.35,5,10/11/2010,,,,
13293,13.52,1,01/12/2009,,,,
13295,12.75,1,05/07/2010,,,,
13304,34.50,1,11/10/2010,,,,
13305,13.20,1,02/11/2010,,,,
13309,26.58,1,28/11/2010,,,,
13310,10.08,1,18/03/2010,,,,
13313,-1.70,1,21/07/2010,,,,
13317,61.10,3,09/06/2010,,,,
13319,52.15,6,02/12/2010,,,,
13320,12.50,1,07/03/2010,,,,
13324,86.10,2,07/09/2010,,,,
13327,108.09,7,08/10/2010,,,,
13329,92.40,2,03/08/2010,,,,
13330,34.62,1,30/11/2010,,,,
13331,16.50,1,15/06/2010,,,,
13333,91.02,2,04/11/2010,,,,
13334,34.34,2,17/10/2010,,,,
13338,54.45,2,25/02/2010,,,,
13340,"1,382.40",3,04/11/2010,,,,
13357,52.90,3,05/12/2010,,,,
13360,12.60,1,04/03/2010,,,,
13361,63.50,1,07/12/2009,,,,
13362,32.00,1,22/06/2010,,,,
13363,8.95,1,13/01/2010,,,,
13370,25.50,1,04/10/2010,,,,
13371,82.65,2,31/10/2010,,,,
13373,160.65,2,24/11/2010,,,,
13374,66.80,1,24/11/2010,,,,
13375,252.00,1,10/02/2010,,,,
13377,59.40,1,01/08/2010,,,,
13381,63.21,2,04/11/2010,,,,
13382,19.80,1,05/12/2010,,,,
13384,15.00,1,07/10/2010,,,,
13387,2.10,1,06/04/2010,,,,
13392,10.20,1,07/06/2010,,,,
13393,-6.75,1,20/08/2010,,,,
13394,106.80,3,17/09/2010,,,,
13395,9.90,1,28/01/2010,,,,
13397,33.72,1,02/12/2010,,,,
13402,10.20,1,17/12/2009,,,,
13406,60.96,1,27/01/2010,,,,
13407,40.32,2,29/11/2010,,,,
13408,483.13,7,01/12/2010,,,,
13413,3.10,2,23/11/2010,,,,
13414,30.12,2,01/12/2010,,,,
13415,18.60,3,30/11/2010,,,,
13417,29.70,2,07/10/2010,,,,
13418,220.77,6,11/11/2010,,,,
13421,53.95,3,08/11/2010,,,,
13423,27.04,1,06/12/2010,,,,
13425,83.46,2,06/10/2010,,,,
13426,55.80,3,05/05/2010,,,,
13428,7.85,1,07/12/2010,,,,
13431,105.44,2,10/10/2010,,,,
13432,3.30,1,31/03/2010,,,,
13434,139.20,1,24/05/2010,,,,
13435,5.95,1,10/11/2010,,,,
13439,20.87,2,14/05/2010,,,,
13442,15.80,1,15/11/2010,,,,
13443,13.65,3,12/11/2010,,,,
13446,53.85,4,03/11/2010,,,,
13448,31.22,2,22/06/2010,,,,
13450,45.00,2,22/11/2010,,,,
13451,112.71,6,09/12/2010,,,,
13453,17.00,1,30/06/2010,,,,
13455,14.85,1,22/10/2010,,,,
13458,111.48,1,25/11/2010,,,,
13462,19.80,1,15/07/2010,,,,
13464,57.00,1,10/10/2010,,,,
13465,30.30,1,14/06/2010,,,,
13466,10.00,1,30/04/2010,,,,
13468,166.65,9,05/11/2010,,,,
13473,101.70,1,24/02/2010,,,,
13476,15.00,1,10/06/2010,,,,
13478,13.20,1,23/11/2010,,,,
13481,84.00,3,10/02/2010,,,,
13484,38.95,2,29/10/2010,,,,
13485,83.70,3,19/11/2010,,,,
13488,52.20,3,12/11/2010,,,,
13491,15.90,1,13/08/2010,,,,
13495,20.40,1,10/05/2010,,,,
13497,35.25,3,17/10/2010,,,,
13501,15.00,1,26/03/2010,,,,
13503,30.30,2,02/05/2010,,,,
13510,28.20,2,02/12/2009,,,,
13512,15.00,1,13/01/2010,,,,
13513,30.00,1,22/08/2010,,,,
13519,42.90,1,17/01/2010,,,,
13523,20.16,1,07/04/2010,,,,
13527,73.70,4,17/11/2010,,,,
13531,14.98,1,02/06/2010,,,,
13537,16.80,1,22/03/2010,,,,
13538,54.10,2,15/11/2010,,,,
13539,40.10,2,01/11/2010,,,,
13540,67.50,1,03/10/2010,,,,
13542,45.92,4,12/11/2010,,,,
13544,20.40,3,25/11/2010,,,,
13545,9.71,1,01/11/2010,,,,
13546,19.20,1,12/10/2010,,,,
13547,3.30,1,25/01/2010,,,,
13548,5.95,1,13/05/2010,,,,
13550,3.48,1,25/10/2010,,,,
13552,40.20,2,30/11/2010,,,,
13553,2.10,1,19/10/2010,,,,
13554,-4.45,3,29/11/2010,,,,
13555,74.65,3,26/10/2010,,,,
13557,25.20,2,09/07/2010,,,,
13561,26.85,4,19/11/2010,,,,
13562,19.50,1,22/12/2009,,,,
13564,311.06,17,09/12/2010,,,,
13566,2.79,1,27/04/2010,,,,
13567,50.80,2,12/11/2010,,,,
13569,23.45,3,06/12/2010,,,,
13571,44.69,5,09/11/2010,,,,
13574,6.30,1,10/05/2010,,,,
13576,81.36,1,16/03/2010,,,,
13577,14.98,1,21/09/2010,,,,
13579,59.55,3,03/12/2010,,,,
13582,15.00,1,21/09/2010,,,,
13583,34.50,1,20/08/2010,,,,
13584,2.90,1,27/04/2010,,,,
13585,53.64,1,04/11/2010,,,,
13590,136.05,5,30/11/2010,,,,
13593,120.30,4,14/10/2010,,,,
13598,19.57,1,01/11/2010,,,,
13599,17.70,1,01/11/2010,,,,
13600,2.95,1,26/08/2010,,,,
13601,9.60,1,25/08/2010,,,,
13602,15.00,1,15/11/2010,,,,
13604,97.50,1,27/10/2010,,,,
13605,25.20,1,04/12/2009,,,,
13608,3.30,1,15/06/2010,,,,
13610,17.60,4,02/09/2010,,,,
13611,22.50,1,09/02/2010,,,,
13613,13.50,1,06/10/2010,,,,
13614,34.20,2,29/11/2010,,,,
13615,114.05,6,02/07/2010,,,,
13619,5.00,1,02/11/2010,,,,
13622,13.50,1,09/09/2010,,,,
13623,86.35,3,11/11/2010,,,,
13624,17.70,1,02/08/2010,,,,
13627,17.70,1,16/11/2010,,,,
13632,20.40,1,04/12/2009,,,,
13634,115.21,4,28/11/2010,,,,
13642,1.25,1,19/11/2010,,,,
13643,31.85,2,09/12/2009,,,,
13646,1.95,1,19/10/2010,,,,
13648,22.50,1,19/08/2010,,,,
13649,11.80,1,07/03/2010,,,,
13650,15.00,1,17/10/2010,,,,
13654,21.00,1,29/10/2010,,,,
13655,16.80,1,29/10/2010,,,,
13658,49.46,2,08/12/2010,,,,
13659,87.90,3,19/11/2010,,,,
13661,14.85,1,07/02/2010,,,,
13662,48.10,3,19/08/2010,,,,
13663,28.60,2,09/02/2010,,,,
13665,19.80,1,22/03/2010,,,,
13668,74.03,5,25/11/2010,,,,
13677,15.25,1,06/12/2010,,,,
13680,154.90,5,09/11/2010,,,,
13684,-16.50,2,28/09/2010,,,,
13692,15.90,1,19/03/2010,,,,
13693,65.00,3,19/11/2010,,,,
13694,"3,357.70",18,02/12/2010,,,,
13696,35.40,1,14/11/2010,,,,
13700,3.30,1,19/03/2010,,,,
13703,-29.75,1,10/10/2010,,,,
13705,182.85,2,10/11/2010,,,,
13707,39.60,1,14/12/2009,,,,
13709,40.95,2,16/07/2010,,,,
13711,27.50,1,30/05/2010,,,,
13713,28.60,1,14/12/2009,,,,
13714,2.50,1,15/04/2010,,,,
13715,137.65,6,04/11/2010,,,,
13717,10.20,1,21/07/2010,,,,
13719,16.85,2,08/12/2010,,,,
13721,17.40,1,19/11/2010,,,,
13723,31.75,1,17/12/2009,,,,
13727,5.90,1,02/12/2010,,,,
13735,148.30,7,05/12/2010,,,,
13736,29.37,3,03/12/2010,,,,
13738,11.95,1,06/12/2010,,,,
13740,15.00,1,07/12/2009,,,,
13748,10.50,1,31/10/2010,,,,
13753,86.40,1,12/08/2010,,,,
13756,60.04,3,04/06/2010,,,,
13758,38.85,2,06/12/2010,,,,
13760,15.60,1,27/06/2010,,,,
13762,92.16,1,21/06/2010,,,,
13763,145.00,1,22/04/2010,,,,
13764,19.95,2,04/11/2010,,,,
13767,255.00,5,06/12/2010,,,,
13768,-30.75,2,09/12/2010,,,,
13769,15.00,1,17/03/2010,,,,
13770,11.90,1,25/11/2010,,,,
13771,81.15,3,08/11/2010,,,,
13772,16.65,4,14/11/2010,,,,
13775,1.25,1,07/11/2010,,,,
13777,398.92,6,30/06/2010,,,,
13780,42.15,1,13/04/2010,,,,
13781,16.50,1,11/08/2010,,,,
13782,31.95,3,07/10/2010,,,,
13786,45.00,1,27/04/2010,,,,
13787,22.95,2,21/09/2010,,,,
13789,29.88,1,11/08/2010,,,,
13797,40.14,2,08/12/2010,,,,
13798,"1,082.08",7,29/11/2010,,,,
13799,69.10,2,08/11/2010,,,,
13802,284.30,6,23/11/2010,,,,
13803,31.20,2,26/11/2010,,,,
13804,20.40,1,23/03/2010,,,,
13815,47.80,2,25/08/2010,,,,
13819,15.00,1,28/07/2010,,,,
13821,-16.95,2,13/05/2010,,,,
13823,81.60,3,06/12/2010,,,,
13824,13.68,1,05/10/2010,,,,
13831,11.55,2,24/10/2010,,,,
13832,2.95,1,31/03/2010,,,,
13834,15.00,1,07/11/2010,,,,
13835,-50.45,1,23/11/2010,,,,
13836,30.00,1,21/03/2010,,,,
13838,24.75,4,01/12/2010,,,,
13842,32.00,2,06/07/2010,,,,
13847,15.00,1,27/08/2010,,,,
13848,320.00,1,10/05/2010,,,,
13849,34.85,1,01/02/2010,,,,
13854,61.20,1,16/09/2010,,,,
13855,27.00,1,12/08/2010,,,,
13856,43.35,1,18/11/2010,,,,
13857,31.13,3,26/11/2010,,,,
13861,17.70,1,17/01/2010,,,,
13863,19.90,1,27/08/2010,,,,
13869,134.55,4,09/12/2010,,,,
13870,57.00,3,17/10/2010,,,,
13871,28.50,2,14/11/2010,,,,
13873,17.00,1,01/04/2010,,,,
13874,32.68,2,15/06/2010,,,,
13875,142.88,6,01/12/2010,,,,
13877,17.70,1,11/10/2010,,,,
13881,352.92,4,23/11/2010,,,,
13883,81.90,3,29/09/2010,,,,
13884,15.85,2,24/11/2010,,,,
13888,44.80,3,07/11/2010,,,,
13889,131.28,3,03/12/2010,,,,
13890,60.15,4,23/06/2010,,,,
13891,28.80,2,18/04/2010,,,,
13892,27.36,1,12/07/2010,,,,
13895,19.75,1,04/10/2010,,,,
13901,105.15,5,01/12/2010,,,,
13906,42.00,1,08/10/2010,,,,
13909,13.50,1,04/10/2010,,,,
13911,82.44,5,13/09/2010,,,,
13920,-2.20,2,20/09/2010,,,,
13921,37.05,2,04/11/2010,,,,
13922,50.40,1,07/05/2010,,,,
13929,37.50,1,19/09/2010,,,,
13931,119.60,3,24/11/2010,,,,
13935,30.00,1,30/11/2010,,,,
13936,15.00,1,17/10/2010,,,,
13937,12.50,1,15/10/2010,,,,
13939,10.86,2,08/11/2010,,,,
13941,145.35,2,05/11/2010,,,,
13944,7.65,1,08/02/2010,,,,
13945,5.04,1,19/03/2010,,,,
13946,2.10,1,31/10/2010,,,,
13952,208.72,5,06/12/2010,,,,
13958,183.62,4,23/11/2010,,,,
13961,30.00,1,03/08/2010,,,,
13963,71.40,5,10/11/2010,,,,
13965,17.40,1,08/08/2010,,,,
13969,89.45,5,22/11/2010,,,,
13971,39.40,2,18/10/2010,,,,
13975,63.34,5,23/11/2010,,,,
13979,48.71,3,21/11/2010,,,,
13982,58.44,3,24/11/2010,,,,
13983,172.20,6,06/12/2010,,,,
13985,66.00,1,19/08/2010,,,,
13987,6.96,1,13/08/2010,,,,
13989,5.04,1,04/12/2009,,,,
13993,77.70,3,28/10/2010,,,,
13995,110.55,3,26/11/2010,,,,
13996,23.40,1,31/08/2010,,,,
13999,56.25,4,07/12/2010,,,,
14000,102.00,1,04/05/2010,,,,
14004,60.00,1,03/12/2010,,,,
14006,15.00,1,22/01/2010,,,,
14008,15.00,1,20/09/2010,,,,
14011,10.20,1,05/10/2010,,,,
14013,-18.95,1,07/11/2010,,,,
14016,252.15,4,15/11/2010,,,,
14017,17.70,1,04/10/2010,,,,
14020,17.70,1,27/04/2010,,,,
14024,19.35,1,27/10/2010,,,,
14025,44.96,2,10/03/2010,,,,
14026,36.45,2,08/04/2010,,,,
14030,54.75,7,06/12/2010,,,,
14031,607.06,7,01/12/2010,,,,
14032,53.40,2,22/10/2010,,,,
