,,,,,,,
Customer_Segment,AVERAGE of SUM of total_line_value,AVERAGE of M_Score,COUNTA of customer_id,SUM of SUM of total_line_value,,,
12530,15.00,1,10/11/11,,,BLACK HEART CARD HOLDER,1015
12536,49.20,1,10/11/11,,,,
12539,27.45,1,01/10/11,,,,
12540,39.93,2,11/08/11,,,,
12541,17.70,1,03/04/11,,,,
12553,15.00,1,07/08/11,,,HIGH RETURN RISK,
12556,25.45,1,07/11/11,,,product_name,SUM of quantity
12567,67.65,3,06/08/11,,,TEA PARTY BIRTHDAY CARD,-96
12569,70.80,3,10/06/11,,,FOLKART HEART NAPKIN RINGS,-18
12576,38.26,2,05/05/11,,,SCANDINAVIAN PAISLEY PICNIC BAG,-18
12577,6.60,1,11/04/11,,,VINTAGE DOILY DELUXE SEWING KIT,-17
12580,36.30,1,04/07/11,,,GLASS JAR ENGLISH CONFECTIONERY,-16
12583,75.00,2,11/08/11,,,,
12585,-8.75,1,01/05/11,,,,
12590,111.00,1,05/12/11,,,,
12607,-21.20,2,10/12/11,,,,
12609,15.30,1,06/06/11,,,,
12616,15.60,1,09/05/11,,,,
12617,7.99,1,11/10/11,,,,
12621,55.08,2,05/09/11,,,,
12625,20.40,1,05/12/11,,,,
12626,22.29,3,07/07/11,,,,
12627,51.30,2,10/06/11,,,,
12635,15.00,1,07/08/11,,,,
12637,11.80,2,09/09/11,,,,
12644,17.40,1,08/02/11,,,,
12646,23.40,1,12/05/11,,,,
12647,52.75,3,07/07/11,,,,
12648,11.70,1,07/08/11,,,,
12650,5.04,1,12/06/11,,,,
12662,30.50,3,03/08/11,,,,
12667,9.44,1,10/12/11,,,,
12670,38.40,1,09/02/11,,,,
12676,40.50,1,02/01/11,,,,
12678,237.60,1,06/05/11,,,,
12679,37.20,1,03/01/11,,,,
12680,15.00,1,09/11/11,,,,
12681,31.85,3,01/10/11,,,,
12682,145.51,6,11/10/11,,,,
12683,163.75,5,05/12/11,,,,
12684,39.00,2,05/10/11,,,,
12685,96.02,2,09/08/11,,,,
12693,19.90,1,08/04/11,,,,
12694,15.00,1,06/09/11,,,,
12700,110.28,4,05/08/11,,,,
12701,17.70,1,04/11/11,,,,
12704,31.00,1,08/04/11,,,,
12705,15.90,1,07/04/11,,,,
12708,17.70,1,11/07/11,,,,
12709,56.00,2,06/02/11,,,,
12712,149.55,3,11/11/11,,,,
12720,50.56,3,12/07/11,,,,
12721,23.40,1,11/08/11,,,,
12722,33.90,1,07/12/11,,,,
12726,60.00,2,11/11/11,,,,
12727,29.70,1,03/03/11,,,,
12728,22.95,1,01/11/11,,,,
12735,26.40,1,01/06/11,,,,
12738,23.40,1,12/02/10,,,,
12739,102.30,1,09/01/11,,,,
12740,16.60,1,10/07/11,,,,
12748,242.29,23,11/11/11,,,,
12749,33.58,3,08/11/11,,,,
12750,10.50,1,08/03/11,,,,
12753,111.60,2,04/05/11,,,,
12757,45.09,3,05/12/11,,,,
12759,15.00,1,03/09/11,,,,
12762,59.40,1,12/02/11,,,,
12763,20.34,1,12/05/10,,,,
12766,33.60,2,01/09/11,,,,
12781,15.60,1,10/07/11,,,,
12783,16.50,1,12/07/11,,,,
12808,48.00,2,06/08/11,,,,
12820,10.20,1,12/06/11,,,,
12824,27.54,1,10/11/11,,,,
12828,10.20,1,10/05/11,,,,
12832,10.20,1,09/02/11,,,,
12836,25.25,2,10/11/11,,,,
12838,3.40,1,11/06/11,,,,
12839,60.70,4,06/09/11,,,,
12840,31.35,2,05/09/11,,,,
12841,25.60,4,06/12/11,,,,
12843,50.85,2,06/06/11,,,,
12844,12.75,1,08/01/11,,,,
12851,2.34,1,09/04/11,,,,
12856,13.80,2,10/07/11,,,,
12857,32.70,1,02/10/11,,,,
12865,73.50,1,08/08/11,,,,
12867,45.65,2,05/09/11,,,,
12872,6.60,1,12/09/10,,,,
12886,29.10,2,05/04/11,,,,
12913,18.72,1,12/05/11,,,,
12919,15.60,1,11/08/11,,,,
12921,75.24,3,11/09/11,,,,
12924,0.83,1,09/12/11,,,,
12925,12.48,1,12/05/11,,,,
12928,41.60,1,04/12/11,,,,
12929,17.00,1,02/01/11,,,,
12931,95.40,1,08/11/11,,,,
12933,22.50,1,03/01/11,,,,
12935,20.80,1,12/07/11,,,,
12949,83.25,2,11/09/11,,,,
12950,9.00,1,12/01/11,,,,
12951,16.95,1,12/01/11,,,,
12952,24.49,1,12/04/11,,,,
12957,7.75,2,04/04/11,,,,
12965,15.00,1,09/11/11,,,,
12970,2.08,1,12/02/11,,,,
12971,21.72,2,12/07/10,,,,
12980,162.72,1,06/05/11,,,,
12982,10.40,1,04/11/11,,,,
12985,-20.88,1,12/08/11,,,,
12989,178.51,2,10/04/11,,,,
13001,54.75,2,03/07/11,,,,
13004,91.81,5,01/10/11,,,,
13013,107.45,4,05/11/11,,,,
13014,16.50,1,05/03/11,,,,
13015,35.10,2,04/08/11,,,,
13016,17.40,1,08/08/11,,,,
13018,15.60,1,09/08/11,,,,
13026,9.12,1,11/08/11,,,,
13034,17.70,1,12/05/10,,,,
13049,96.30,1,10/06/11,,,,
13050,33.90,2,06/07/11,,,,
13058,14.85,1,07/11/11,,,,
13065,13.00,1,12/01/10,,,,
13069,48.47,6,07/12/11,,,,
13077,1.58,1,12/08/11,,,,
13078,17.00,1,01/11/11,,,,
13081,167.62,4,05/06/11,,,,
13089,668.62,11,10/11/11,,,,
13091,23.40,1,11/11/11,,,,
13093,175.20,1,03/09/11,,,,
13097,5.95,1,08/09/11,,,,
13098,440.62,7,05/11/11,,,,
13102,138.04,6,01/11/11,,,,
13109,16.50,1,07/05/11,,,,
13110,20.60,2,03/01/11,,,,
13113,-47.85,1,10/10/11,,,,
13115,87.30,2,10/12/11,,,,
13117,19.80,1,12/02/10,,,,
13124,101.23,2,09/11/11,,,,
13126,78.80,2,03/10/11,,,,
13136,32.70,1,05/11/11,,,,
13137,45.01,4,11/11/11,,,,
13141,10.08,1,05/09/11,,,,
13148,36.57,1,11/10/11,,,,
13155,4.44,1,12/06/10,,,,
13158,34.20,2,07/07/11,,,,
13159,14.94,1,12/01/11,,,,
13168,8.20,1,11/03/11,,,,
13174,51.93,1,12/05/10,,,,
13184,14.40,2,07/11/11,,,,
13186,35.40,1,09/07/11,,,,
13192,25.50,1,09/05/11,,,,
13198,28.20,1,04/04/11,,,,
13211,6.80,1,09/05/11,,,,
13213,19.80,1,08/03/11,,,,
13224,50.50,2,07/11/11,,,,
13226,2.50,1,03/11/11,,,,
13230,53.29,5,11/10/11,,,,
13232,5.85,1,06/12/11,,,,
13235,13.20,1,05/11/11,,,,
13248,23.40,1,06/03/11,,,,
13249,159.95,2,09/08/11,,,,
13259,2.08,1,10/09/11,,,,
13263,50.78,9,05/12/11,,,,
13266,27.50,2,04/11/11,,,,
13267,47.58,2,01/12/11,,,,
13269,77.75,3,07/12/11,,,,
13271,9.79,1,11/02/11,,,,
13276,13.90,1,10/07/11,,,,
13282,17.70,1,05/03/11,,,,
13285,38.20,1,07/01/11,,,,
13292,15.00,1,11/01/11,,,,
13301,8.40,1,05/01/11,,,,
13305,17.40,1,09/08/11,,,,
13310,16.60,1,11/11/11,,,,
13311,5.04,1,07/12/11,,,,
13313,51.90,2,11/04/11,,,,
13316,0.21,1,11/02/11,,,,
13319,114.59,6,08/11/11,,,,
13320,43.50,2,05/10/11,,,,
13324,189.60,1,09/11/11,,,,
13327,71.60,3,06/07/11,,,,
13330,23.40,1,06/07/11,,,,
13334,31.90,2,02/07/11,,,,
13338,17.40,1,07/05/11,,,,
13340,265.16,1,03/08/11,,,,
13344,52.28,2,03/07/11,,,,
13351,17.34,1,10/04/11,,,,
13362,15.00,1,04/08/11,,,,
13365,16.50,1,05/06/11,,,,
13370,15.00,1,12/03/10,,,,
13372,11.50,1,09/11/11,,,,
13373,60.68,3,10/10/11,,,,
13381,30.00,1,09/11/11,,,,
13382,24.95,1,03/04/11,,,,
13384,10.08,1,11/09/11,,,,
13396,147.96,1,11/10/11,,,,
13402,19.80,1,08/04/11,,,,
13408,195.84,3,08/11/11,,,,
13418,65.00,3,08/07/11,,,,
13422,17.40,1,10/06/11,,,,
13426,126.24,3,09/11/11,,,,
13427,11.40,1,05/08/11,,,,
13435,69.60,2,08/05/11,,,,
13436,15.80,1,12/08/11,,,,
13448,45.30,2,05/05/11,,,,
13451,24.55,3,05/12/11,,,,
13455,15.30,1,12/08/10,,,,
13456,33.90,1,10/07/11,,,,
13458,145.50,5,04/12/11,,,,
13461,163.80,1,11/01/11,,,,
13464,15.30,1,10/12/11,,,,
13467,9.36,1,11/03/11,,,,
13468,28.10,2,10/05/11,,,,
13471,46.50,2,12/08/11,,,,
13475,35.40,1,06/01/11,,,,
13486,17.40,1,08/03/11,,,,
13488,31.22,2,08/11/11,,,,
13491,30.90,1,01/11/11,,,,
13507,33.30,1,12/06/11,,,,
13510,32.50,1,06/09/11,,,,
13515,13.20,1,04/06/11,,,,
13520,19.50,1,06/08/11,,,,
13521,17.68,2,12/08/11,,,,
13522,15.00,1,11/09/11,,,,
13523,45.00,1,11/06/11,,,,
13527,16.75,1,09/11/11,,,,
13532,5.44,1,11/06/11,,,,
13534,16.50,1,11/07/11,,,,
13536,3.75,1,12/04/11,,,,
13548,1.25,1,09/04/11,,,,
13552,83.20,1,08/05/11,,,,
13558,10.05,2,10/09/11,,,,
13570,5.90,1,04/10/11,,,,
13571,18.27,2,08/04/11,,,,
13576,81.36,1,11/10/11,,,,
13577,67.95,2,04/12/11,,,,
13583,23.76,1,07/07/11,,,,
13584,3.90,1,02/06/11,,,,
13588,10.08,1,08/11/11,,,,
13591,17.34,1,10/06/11,,,,
13593,17.85,1,01/07/11,,,,
13599,19.80,1,12/01/11,,,,
13601,23.40,1,05/12/11,,,,
13606,11.65,1,04/10/11,,,,
13610,7.50,1,06/05/11,,,,
13626,15.90,1,04/01/11,,,,
13629,179.00,1,09/01/11,,,,
13634,2.34,1,11/06/11,,,,
13642,3.30,1,05/08/11,,,,
13643,54.80,2,06/07/11,,,,
13645,30.60,1,08/11/11,,,,
13650,115.28,1,10/04/11,,,,
13654,61.80,2,04/11/11,,,,
13656,1.25,1,01/06/11,,,,
13662,19.50,1,05/11/11,,,,
13668,22.20,3,04/11/11,,,,
13675,15.00,1,07/11/11,,,,
13680,12.56,2,12/08/11,,,,
13694,584.46,4,06/09/11,,,,
13697,17.00,1,11/01/11,,,,
13709,133.83,5,11/08/11,,,,
13715,1.65,1,01/05/11,,,,
13722,10.50,1,03/02/11,,,,
13723,47.20,1,05/06/11,,,,
13725,49.50,1,02/04/11,,,,
13736,3.16,1,12/04/11,,,,
13748,29.90,1,04/07/11,,,,
13752,28.60,1,08/07/11,,,,
13755,12.80,1,10/07/11,,,,
13762,30.00,1,05/05/11,,,,
13763,-8.50,1,07/04/11,,,,
13764,13.95,1,01/06/11,,,,
13769,15.80,1,11/02/11,,,,
13771,74.40,2,10/06/11,,,,
13772,21.15,2,11/06/11,,,,
13777,155.04,1,03/08/11,,,,
13780,2.90,1,12/02/11,,,,
13782,8.70,2,08/07/11,,,,
13798,88.80,1,12/07/11,,,,
13801,15.30,1,10/04/11,,,,
13802,77.50,1,02/01/11,,,,
13810,5.04,1,11/11/11,,,,
13812,10.20,1,10/06/11,,,,
13816,17.34,1,10/06/11,,,,
13824,15.00,1,11/07/11,,,,
13838,10.20,2,12/04/11,,,,
13842,50.05,2,10/12/11,,,,
13850,37.20,1,08/02/11,,,,
13851,17.00,1,08/03/11,,,,
13862,36.90,2,07/08/11,,,,
13868,45.70,1,11/01/11,,,,
13869,11.12,1,08/08/11,,,,
13871,41.25,2,03/10/11,,,,
13873,17.70,1,02/03/11,,,,
13880,15.00,1,12/07/10,,,,
13881,255.12,2,04/11/11,,,,
13882,4.68,1,12/07/11,,,,
13885,31.80,1,06/03/11,,,,
13890,25.20,1,12/08/11,,,,
13892,30.00,1,10/06/11,,,,
13895,23.40,1,10/04/11,,,,
13901,10.20,1,07/04/11,,,,
13908,25.70,2,05/09/11,,,,
13911,13.20,1,02/04/11,,,,
13917,10.20,1,06/01/11,,,,
13919,17.34,1,10/11/11,,,,
13924,4.14,2,12/08/11,,,,
13939,9.90,1,02/01/11,,,,
13949,50.01,1,09/06/11,,,,
13952,30.60,1,05/06/11,,,,
13954,15.00,1,12/08/11,,,,
13955,2.95,1,07/08/11,,,,
13956,4.20,1,04/10/11,,,,
13963,59.70,3,02/04/11,,,,
13969,82.80,3,06/09/11,,,,
13971,17.70,1,10/11/11,,,,
13975,24.03,3,11/08/11,,,,
13980,18.56,1,10/10/11,,,,
13983,2.49,1,10/12/11,,,,
13985,43.40,2,10/12/11,,,,
13993,-29.10,1,11/07/11,,,,
13994,5.90,1,10/03/11,,,,
13995,17.85,1,04/08/11,,,,
13999,31.00,1,10/06/11,,,,
14000,22.50,1,05/12/11,,,,
14006,16.50,1,04/12/11,,,,
14013,17.40,1,03/09/11,,,,
14016,17.70,1,07/01/11,,,,
14019,10.08,1,09/02/11,,,,
14020,17.40,1,09/12/11,,,,
14021,17.85,1,05/12/11,,,,
14030,43.14,3,08/10/11,,,,
14031,31.60,1,12/02/10,,,,
14032,15.00,1,04/12/11,,,,
14034,8.25,1,07/05/11,,,,
14040,39.75,1,01/12/11,,,,
14044,3.10,1,02/03/11,,,,
14048,11.40,1,02/07/11,,,,
14050,13.20,1,11/08/11,,,,
14051,257.40,3,10/11/11,,,,
14054,16.50,1,10/05/11,,,,
14056,52.86,8,05/11/11,,,,
14060,145.20,1,06/09/11,,,,
14062,88.98,1,12/10/10,,,,
14064,16.45,2,05/12/11,,,,
14071,11.92,2,11/08/11,,,,
14075,30.00,1,12/05/11,,,,
14081,33.92,2,02/10/11,,,,
14083,11.25,1,12/05/11,,,,
14085,7.54,1,03/09/11,,,,
14087,8.40,1,12/07/11,,,,
14088,67.05,1,06/02/11,,,,
14092,55.20,2,10/03/11,,,,
14096,546.48,4,11/10/11,,,,
14099,28.40,2,07/05/11,,,,
14107,13.20,1,05/03/11,,,,
14110,114.84,1,08/12/11,,,,
14112,6.80,1,08/01/11,,,,
14113,30.00,1,12/06/11,,,,
14116,50.10,2,09/08/11,,,,
14121,96.30,1,11/10/11,,,,
14128,6.96,1,10/10/11,,,,
14132,53.78,3,10/10/11,,,,
14135,10.50,1,01/11/11,,,,
14138,15.00,1,10/07/11,,,,
14146,23.24,1,12/01/11,,,,
14156,236.60,3,08/05/11,,,,
14159,10.59,2,09/05/11,,,,
14161,45.20,2,05/08/11,,,,
14163,22.50,1,07/10/11,,,,
14175,19.80,1,10/11/11,,,,
14177,12.50,1,09/05/11,,,,
14178,2.50,1,06/10/11,,,,
14180,51.75,3,07/07/11,,,,
14184,17.40,1,10/04/11,,,,
14188,21.00,1,07/08/11,,,,
14189,21.96,2,07/05/11,,,,
14191,7.50,1,12/08/11,,,,
14209,61.45,3,01/11/11,,,,
14216,125.20,2,12/06/11,,,,
14221,52.20,2,01/04/11,,,,
14223,15.90,1,09/08/11,,,,
14233,232.00,1,02/02/11,,,,
14235,69.60,1,07/05/11,,,,
14240,45.78,1,11/09/11,,,,
14243,18.96,1,09/05/11,,,,
14247,9.95,1,03/06/11,,,,
14250,114.66,2,09/11/11,,,,
14257,29.70,1,06/08/11,,,,
14258,185.40,2,07/11/11,,,,
14276,40.20,1,09/02/11,,,,
14282,8.50,1,11/08/11,,,,
14286,68.28,1,04/11/11,,,,
14291,77.38,3,08/11/11,,,,
14292,35.04,2,09/12/11,,,,
14293,63.05,2,12/06/11,,,,
14297,48.00,2,10/10/11,,,,
14298,646.06,5,11/09/11,,,,
14299,122.04,1,12/09/10,,,,
14307,34.10,2,05/04/11,,,,
14309,19.80,1,02/03/11,,,,
14311,17.00,1,04/11/11,,,,
14315,49.90,1,07/08/11,,,,
14326,25.20,1,04/11/11,,,,
14329,10.20,1,03/11/11,,,,
14332,45.00,1,10/04/11,,,,
14334,19.50,1,09/07/11,,,,
14336,15.00,1,05/04/11,,,,
14338,8.25,1,07/01/11,,,,
14341,20.80,1,08/01/11,,,,
14344,91.35,2,03/09/11,,,,
14350,10.20,1,03/10/11,,,,
14352,70.80,1,03/11/11,,,,
14355,17.70,1,12/09/10,,,,
14360,25.08,2,09/06/11,,,,
14367,13.51,2,06/08/11,,,,
14375,2.08,1,06/07/11,,,,
14383,27.00,1,10/06/11,,,,
14387,29.70,1,11/07/11,,,,
14388,24.30,2,09/09/11,,,,
14389,41.60,1,10/05/11,,,,
14390,11.25,1,12/02/10,,,,
14395,37.13,3,01/09/11,,,,
14396,16.55,1,10/05/11,,,,
14397,24.96,2,05/10/11,,,,
14401,35.40,1,08/03/11,,,,
14403,122.40,1,04/06/11,,,,
14410,2.90,1,09/08/11,,,,
14414,6.84,1,09/09/11,,,,
14415,60.95,4,10/09/11,,,,
14418,11.90,1,12/06/11,,,,
14419,1.95,1,11/01/11,,,,
14421,25.44,1,05/12/11,,,,
14422,23.40,1,12/09/11,,,,
14426,48.66,2,03/08/11,,,,
14428,20.11,2,11/03/11,,,,
14431,35.40,1,02/10/11,,,,
14432,14.00,2,09/11/11,,,,
14440,86.40,1,12/09/10,,,,
14446,7.52,3,11/11/11,,,,
14449,33.48,3,04/07/11,,,,
14450,1.30,1,06/12/11,,,,
14453,2.10,1,06/02/11,,,,
14456,37.15,3,09/11/11,,,,
14462,45.60,2,06/07/11,,,,
14465,10.83,2,04/07/11,,,,
14466,57.00,1,06/05/11,,,,
14472,12.45,1,07/10/11,,,,
14475,35.70,2,02/08/11,,,,
14482,5.00,2,11/09/11,,,,
14487,2.50,1,09/11/11,,,,
14488,17.40,1,10/03/11,,,,
14497,31.20,1,02/03/11,,,,
14499,1.26,1,03/06/11,,,,
14502,7.30,3,11/06/11,,,,
14503,190.48,2,12/06/11,,,,
14504,11.64,2,04/10/11,,,,
14505,77.95,3,05/10/11,,,,
14506,31.93,3,10/04/11,,,,
14507,1.25,1,03/08/11,,,,
14514,30.00,1,10/09/11,,,,
14515,50.70,1,05/05/11,,,,
14525,24.95,2,08/11/11,,,,
14527,151.85,10,11/11/11,,,,
14529,5.35,1,10/10/11,,,,
14530,4.15,1,08/03/11,,,,
14533,-29.70,1,10/10/11,,,,
14534,38.59,6,05/10/11,,,,
14535,103.48,3,10/10/11,,,,
14543,-11.90,1,03/06/11,,,,
14546,4.20,1,12/04/11,,,,
14547,31.10,2,11/06/11,,,,
14549,0.85,1,02/01/11,,,,
14560,39.60,1,10/07/11,,,,
14561,22.80,1,06/08/11,,,,
14562,44.05,4,06/09/11,,,,
14570,4.20,1,03/04/11,,,,
14573,17.70,2,03/03/11,,,,
14583,6.65,2,06/07/11,,,,
14584,6.76,1,06/09/11,,,,
14587,10.45,3,01/12/11,,,,
14594,8.25,1,12/02/11,,,,
14595,20.40,1,10/09/11,,,,
14600,15.90,1,02/07/11,,,,
14606,62.42,15,04/11/11,,,,
14621,36.30,1,11/09/11,,,,
14623,7.45,2,11/07/11,,,,
14626,16.50,1,10/06/11,,,,
14628,50.15,1,04/11/11,,,,
14629,16.03,1,12/05/11,,,,
14639,13.30,1,08/11/11,,,,
14640,22.50,1,08/04/11,,,,
14645,15.00,1,07/06/11,,,,
14646,"2,126.15",10,05/12/11,,,,
14649,12.35,2,05/11/11,,,,
14651,7.50,1,05/12/11,,,,
14653,3.75,1,10/03/11,,,,
14659,22.90,2,11/04/11,,,,
14662,15.99,2,11/11/11,,,,
14664,7.65,1,11/06/11,,,,
14665,-25.20,1,10/10/11,,,,
14667,35.28,2,12/10/10,,,,
14669,13.95,1,04/12/11,,,,
14670,12.68,1,03/04/11,,,,
14672,18.70,1,01/07/11,,,,
14673,13.92,1,12/06/11,,,,
14676,20.40,1,03/01/11,,,,
14680,179.75,2,07/08/11,,,,
14684,18.50,2,05/08/11,,,,
14688,-11.85,2,04/04/11,,,,
14691,39.60,1,11/09/11,,,,
14696,10.20,1,08/12/11,,,,
14698,13.39,1,12/08/11,,,,
14700,1.70,1,06/03/11,,,,
14702,56.45,3,01/09/11,,,,
14710,8.25,1,10/11/11,,,,
14711,4.95,1,04/04/11,,,,
14713,117.90,3,11/10/11,,,,
14715,7.50,1,01/12/11,,,,
14720,14.85,1,09/11/11,,,,
14729,1.25,1,12/01/10,,,,
14730,18.85,4,12/08/11,,,,
14731,4.95,1,05/11/11,,,,
14732,27.60,2,11/09/11,,,,
14733,22.80,1,01/11/11,,,,
14739,31.20,1,01/05/11,,,,
14745,8.50,1,06/08/11,,,,
14748,60.00,2,11/10/11,,,,
14759,17.85,1,12/05/11,,,,
14765,2.08,1,11/10/11,,,,
14766,-29.90,1,12/02/10,,,,
14768,29.70,1,08/04/11,,,,
14796,49.46,5,07/11/11,,,,
14800,18.46,4,01/09/11,,,,
14801,2.92,1,10/09/11,,,,
14808,7.80,1,07/10/11,,,,
14810,8.25,1,12/05/10,,,,
14813,6.30,1,12/05/10,,,,
14815,38.18,1,10/03/11,,,,
14825,63.32,2,12/06/11,,,,
14844,58.56,2,04/12/11,,,,
14849,13.20,1,10/06/11,,,,
14852,32.70,2,10/12/11,,,,
14854,119.70,1,04/01/11,,,,
14856,4.68,1,11/03/11,,,,
14857,18.00,1,10/11/11,,,,
14863,15.00,1,11/10/11,,,,
14866,91.80,1,11/01/11,,,,
14868,64.35,2,12/06/11,,,,
14869,14.04,1,12/01/11,,,,
14883,24.96,1,05/12/11,,,,
14886,64.50,1,04/01/11,,,,
14891,33.40,1,06/05/11,,,,
14895,76.50,1,09/09/11,,,,
14897,24.96,1,12/02/11,,,,
14898,15.00,1,02/10/11,,,,
14903,65.25,3,08/07/11,,,,
14907,48.60,2,09/01/11,,,,
14911,540.25,23,10/12/11,,,,
14913,15.00,1,11/04/11,,,,
14915,29.70,1,09/09/11,,,,
14918,76.50,1,07/08/11,,,,
14920,57.00,2,05/11/11,,,,
14930,61.74,1,03/10/11,,,,
14931,17.70,1,12/05/11,,,,
14932,20.28,1,12/09/10,,,,
14936,19.80,1,11/06/11,,,,
14944,151.20,2,11/10/11,,,,
14947,15.00,1,08/01/11,,,,
14958,9.90,1,04/08/11,,,,
14959,15.00,1,10/06/11,,,,
14961,13.20,1,09/09/11,,,,
14963,10.40,1,11/06/11,,,,
14965,4.20,1,09/04/11,,,,
14968,2.50,1,11/09/11,,,,
14970,70.80,1,10/02/11,,,,
14981,6.96,1,04/07/11,,,,
14988,18.00,1,05/12/11,,,,
14998,0.42,1,04/12/11,,,,
15005,63.10,5,10/07/11,,,,
15007,3.30,1,07/03/11,,,,
15012,1.65,1,12/01/10,,,,
15017,8.25,1,11/06/11,,,,
15021,13.15,2,07/06/11,,,,
15023,21.00,3,12/06/11,,,,
15025,5.10,1,11/06/11,,,,
15026,2.95,1,03/07/11,,,,
15033,2.50,1,07/03/11,,,,
15034,13.20,1,11/11/11,,,,
15038,49.50,1,10/02/11,,,,
15039,360.40,8,01/10/11,,,,
15044,85.65,3,02/11/11,,,,
15046,370.30,3,11/09/11,,,,
15051,3.75,1,07/12/11,,,,
15053,30.24,2,07/06/11,,,,
15059,8.40,1,01/09/11,,,,
15061,"1,049.12",5,05/12/11,,,,
15066,-2.95,1,11/08/11,,,,
15071,136.00,1,03/09/11,,,,
15073,89.68,1,06/06/11,,,,
15078,150.20,5,08/09/11,,,,
15087,13.20,1,03/03/11,,,,
15088,17.00,1,10/03/11,,,,
15089,9.90,1,09/06/11,,,,
15090,23.40,1,02/04/11,,,,
15092,15.90,1,05/08/11,,,,
15093,82.62,2,01/05/11,,,,
15111,25.20,1,12/02/10,,,,
15123,17.70,1,12/02/11,,,,
15127,25.20,1,10/05/11,,,,
15128,39.96,2,08/05/11,,,,
15136,17.40,1,09/04/11,,,,
15139,10.20,1,01/07/11,,,,
15145,25.50,1,04/05/11,,,,
15150,7.80,1,06/06/11,,,,
15152,93.90,3,08/08/11,,,,
15156,22.50,1,11/06/11,,,,
15157,7.33,3,08/08/11,,,,
15159,80.70,3,09/11/11,,,,
15164,25.00,1,10/02/11,,,,
15180,14.85,1,12/07/10,,,,
15181,18.72,1,10/04/11,,,,
15187,120.00,1,12/01/11,,,,
15189,194.35,3,09/07/11,,,,
15192,6.72,1,06/01/11,,,,
15193,23.80,1,10/10/11,,,,
15194,120.30,3,11/08/11,,,,
15211,15.30,1,10/10/11,,,,
15214,88.20,4,04/11/11,,,,
15228,45.90,2,10/04/11,,,,
15235,17.70,1,12/01/10,,,,
15238,17.40,1,11/10/11,,,,
15241,15.54,1,03/01/11,,,,
15245,16.50,1,06/05/11,,,,
15249,46.85,2,09/09/11,,,,
15251,397.80,1,09/09/11,,,,
15260,59.40,1,06/06/11,,,,
15271,20.60,2,06/12/11,,,,
15274,17.40,1,12/05/11,,,,
15275,13.52,1,11/02/11,,,,
15276,3.69,1,10/04/11,,,,
15281,39.06,2,10/12/11,,,,
15289,24.96,1,04/04/11,,,,
15290,39.60,1,08/03/11,,,,
15300,24.75,1,10/06/11,,,,
15301,25.20,1,06/05/11,,,,
15306,15.00,1,10/06/11,,,,
15311,729.37,16,01/12/11,,,,
15312,13.16,1,05/08/11,,,,
15318,4.68,1,12/06/11,,,,
15329,-12.75,1,12/09/10,,,,
15332,45.00,1,12/05/10,,,,
15349,5.04,1,06/05/11,,,,
